Timestamp,Value,,,,
04.11.2024 14:31,1936,405,,,
04.11.2024 14:31,1944,406,,,
04.11.2024 14:31,1947,407,,,
04.11.2024 14:31,1955,408,,,
04.11.2024 14:31,1959,409,,,
04.11.2024 14:31,1964,410,,,
04.11.2024 14:31,1967,411,,,
04.11.2024 14:31,1963,412,,,
04.11.2024 14:31,1964,413,,,
04.11.2024 14:31,1967,414,,,
04.11.2024 14:31,1963,415,,,
04.11.2024 14:31,1965,416,,,
04.11.2024 14:31,1963,417,,,
04.11.2024 14:31,1966,418,,,
04.11.2024 14:31,1966,419,,,
04.11.2024 14:31,1965,420,,,
04.11.2024 14:31,1964,421,,,
04.11.2024 14:31,1964,422,,,
04.11.2024 14:31,1964,423,,,
04.11.2024 14:31,1966,424,,,
04.11.2024 14:31,1963,425,,,
04.11.2024 14:31,1958,426,,,
04.11.2024 14:31,1930,427,,,
04.11.2024 14:31,1952,428,,,
04.11.2024 14:31,1955,429,,,
04.11.2024 14:31,1956,430,,,
04.11.2024 14:31,1967,431,,,
04.11.2024 14:31,1958,432,,,
04.11.2024 14:31,1933,433,,,
04.11.2024 14:31,1931,434,,,
04.11.2024 14:31,1935,435,,,
04.11.2024 14:31,1951,436,,,
04.11.2024 14:31,1959,437,,,
04.11.2024 14:31,1961,438,,,
04.11.2024 14:31,1966,439,,,
04.11.2024 14:31,1966,440,,,
04.11.2024 14:31,1966,441,,,
04.11.2024 14:31,1966,442,,,
04.11.2024 14:31,1965,443,,,
04.11.2024 14:31,1965,444,,,
04.11.2024 14:31,1963,445,,,
04.11.2024 14:31,1965,446,,,
04.11.2024 14:31,1963,447,,,
04.11.2024 14:31,1967,448,,,
04.11.2024 14:31,1963,449,,,
04.11.2024 14:31,1952,450,,,
04.11.2024 14:31,1934,451,,,
04.11.2024 14:31,1933,452,,,
04.11.2024 14:31,1935,453,,,
04.11.2024 14:31,1936,454,,,
04.11.2024 14:31,1938,455,,,
04.11.2024 14:31,1954,456,,,
04.11.2024 14:31,1957,457,,,
04.11.2024 14:31,1966,458,,,
04.11.2024 14:31,1970,459,,,
04.11.2024 14:31,1965,460,,,
